日期,最高温度,最低温度
2022年1月1日,12,6
2022年1月2日,12,5
2022年1月3日,10,8
2022年1月4日,10,6
2022年1月5日,13,6
2022年1月6日,11,9
2022年1月7日,10,8
2022年1月8日,12,7
2022年1月9日,14,6
2022年1月10日,12,7
2022年1月11日,14,9
2022年1月12日,11,9
2022年1月13日,10,8
2022年1月14日,12,7
2022年1月15日,12,8
2022年1月16日,12,8
2022年1月17日,13,5
2022年1月18日,16,5
2022年1月19日,17,6
2022年1月20日,12,10
2022年1月21日,11,9
2022年1月22日,12,9
2022年1月23日,11,9
2022年1月24日,11,9
2022年1月25日,11,8
2022年1月26日,10,8
2022年1月27日,10,7
2022年1月28日,8,6
2022年1月29日,8,4
2022年1月30日,11,5
2022年1月31日,10,5
2022年2月1日,8,6
2022年2月2日,8,5
2022年2月3日,10,4
2022年2月4日,11,6
2022年2月5日,11,7
2022年2月6日,8,6
2022年2月7日,8,5
2022年2月8日,8,6
2022年2月9日,9,5
2022年2月10日,9,7
2022年2月11日,10,7
2022年2月12日,9,7
2022年2月13日,14,6
2022年2月14日,17,6
2022年2月15日,17,10
2022年2月16日,14,10
2022年2月17日,12,8
2022年2月18日,10,8
2022年2月19日,7,5
2022年2月20日,8,5
2022年2月21日,10,6
2022年2月22日,9,3
2022年2月23日,12,3
2022年2月24日,14,7
2022年2月25日,14,7
2022年2月26日,15,8
2022年2月27日,18,7
2022年2月28日,17,11
2022年3月1日,18,11
2022年3月2日,19,11
2022年3月3日,19,10
2022年3月4日,19,10
2022年3月5日,20,11
2022年3月6日,19,10
2022年3月7日,23,10
2022年3月8日,25,12
2022年3月9日,26,14
2022年3月10日,27,14
2022年3月11日,29,16
2022年3月12日,29,18
2022年3月13日,30,18
2022年3月14日,29,19
2022年3月15日,32,20
2022年3月16日,25,20
2022年3月17日,28,18
2022年3月18日,31,17
2022年3月19日,32,20
2022年3月20日,24,15
2022年3月21日,16,12
2022年3月22日,14,11
2022年3月23日,19,12
2022年3月24日,22,12
2022年3月25日,21,13
2022年3月26日,15,13
2022年3月27日,17,11
2022年3月28日,24,11
2022年3月29日,24,15
2022年3月30日,20,15
2022年3月31日,15,12
2022年4月1日,14,12
2022年4月2日,17,10
2022年4月3日,24,11
2022年4月4日,17,14
2022年4月5日,21,13
2022年4月6日,21,12
2022年4月7日,27,12
2022年4月8日,29,15
2022年4月9日,28,17
2022年4月10日,30,17
2022年4月11日,33,18
2022年4月12日,24,14
2022年4月13日,25,15
2022年4月14日,20,15
2022年4月15日,15,12
2022年4月16日,13,11
2022年4月17日,14,11
2022年4月18日,20,12
2022年4月19日,22,14
2022年4月20日,26,15
2022年4月21日,29,17
2022年4月22日,28,18
2022年4月23日,30,20
2022年4月24日,26,18
2022年4月25日,27,20
2022年4月26日,30,19
2022年4月27日,30,19
2022年4月28日,25,17
2022年4月29日,27,17
2022年4月30日,19,15
2022年5月1日,17,12
2022年5月2日,23,13
2022年5月3日,26,14
2022年5月4日,30,16
2022年5月5日,32,19
2022年5月6日,33,20
2022年5月7日,31,21
2022年5月8日,32,21
2022年5月9日,25,19
2022年5月10日,29,19
2022年5月11日,25,20
2022年5月12日,28,19
2022年5月13日,30,18
2022年5月14日,19,17
2022年5月15日,17,13
2022年5月16日,23,14
2022年5月17日,24,18
2022年5月18日,19,16
2022年5月19日,22,16
2022年5月20日,25,18
2022年5月21日,24,20
2022年5月22日,24,17
2022年5月23日,28,19
2022年5月24日,31,20
2022年5月25日,31,23
2022年5月26日,26,22
2022年5月27日,23,20
2022年5月28日,26,20
2022年5月29日,28,19
2022年5月30日,29,21
2022年5月31日,31,22
2022年6月1日,30,23
2022年6月2日,29,23
2022年6月3日,29,24
2022年6月4日,28,21
2022年6月5日,29,21
2022年6月6日,27,21
2022年6月7日,32,22
2022年6月8日,30,23
2022年6月9日,26,22
2022年6月10日,26,21
2022年6月11日,25,22
2022年6月12日,24,21
2022年6月13日,28,21
2022年6月14日,31,22
2022年6月15日,33,23
2022年6月16日,31,24
2022年6月17日,30,24
2022年6月18日,31,23
2022年6月19日,31,23
2022年6月20日,33,25
2022年6月21日,34,26
2022年6月22日,33,26
2022年6月23日,30,24
2022年6月24日,32,24
2022年6月25日,36,27
2022年6月26日,36,25
2022年6月27日,29,23
2022年6月28日,34,24
2022年6月29日,36,25
2022年6月30日,37,27
2022年7月1日,33,25
2022年7月2日,32,25
2022年7月3日,32,25
2022年7月4日,34,26
2022年7月5日,36,27
2022年7月6日,39,29
2022年7月7日,39,27
2022年7月8日,39,28
2022年7月9日,39,29
2022年7月10日,39,31
2022年7月11日,40,32
2022年7月12日,40,32
2022年7月13日,40,33
2022年7月14日,41,33
2022年7月15日,40,34
2022年7月16日,39,31
2022年7月17日,36,30
2022年7月18日,33,27
2022年7月19日,31,25
2022年7月20日,30,24
2022年7月21日,34,26
2022年7月22日,30,25
2022年7月23日,31,23
2022年7月24日,34,25
2022年7月25日,36,26
2022年7月26日,39,26
2022年7月27日,33,27
2022年7月28日,35,26
2022年7月29日,37,27
2022年7月30日,38,29
2022年7月31日,39,29
